@relation 'SMILEfeatures-weka.filters.unsupervised.attribute.Remove-V-R685,1441,1432,1442,676,686,684,1440,712,713,671,1446,1584'

@attribute F0finEnv_sma_quartile2 numeric
@attribute F0final_sma_quartile2 numeric
@attribute F0final_sma_amean numeric
@attribute F0final_sma_quartile3 numeric
@attribute F0finEnv_sma_amean numeric
@attribute F0finEnv_sma_quartile3 numeric
@attribute F0finEnv_sma_quartile1 numeric
@attribute F0final_sma_quartile1 numeric
@attribute voicingFinalUnclipped_sma_percentile99.0 numeric
@attribute voicingFinalUnclipped_sma_pctlrange0-1 numeric
@attribute lspFreq_sma[7]_pctlrange0-1 numeric
@attribute F0final_sma_percentile99.0 numeric
@attribute gender {m,f}

@data
163.753,152.7777,160.1408,169.5193,186.0248,200.0894,151.901,132.0059,0.822517,0.375509,0.424905,498.4458,m
139.5209,136.2085,129.0382,149.1856,138.9234,152.2625,134.1134,125.3721,0.805257,0.805257,0.363084,159.1186,m
216.2625,192.103,194.664,227.2595,209.3276,226.3854,186.2502,182.5777,0.840068,0.840068,0.248355,256.3568,f
151.1319,138.641,142.1354,169.0943,157.1125,171.0938,137.5177,115.1257,0.797512,0.797512,0.280921,429.7727,m
182.6926,170.5942,172.0411,205.5847,187.2525,209.3179,162.1345,151.6699,0.833456,0.833456,0.197933,281.6664,f
108.5269,108.8544,101.3236,115.7892,106.2327,114.7123,101.4223,101.2171,0.766349,0.685857,0.241564,129.1744,m
137.0892,135.5365,123.3749,142.3545,136.1637,142.3082,132.4407,117.4797,0.801151,0.801151,0.325571,157.7304,m
178.3344,170.9234,164.1813,194.5983,182.3835,195.2547,164.4555,154.8407,0.860446,0.638159,0.383816,228.8885,f
170.6346,170.1118,169.6235,185.6014,170.0523,180.8188,156.83,156.9349,0.845696,0.845696,0.471461,246.1245,f
215.9001,212.1322,195.8243,234.4096,222.1799,234.2368,207.5145,172.5934,0.848993,0.848993,0.248261,272.4399,f
165.0134,143.2111,147.9129,188.2627,162.7758,190.4375,136.577,126.3204,0.820476,0.820476,0.430298,236.3369,f
107.041,100.858,114.2347,132.0993,147.1744,156.8774,96.51923,66.29755,0.804859,0.595067,0.291988,553.0541,m
94.10447,93.9885,90.87914,115.3056,103.8027,119.1358,90.76586,79.10474,0.780047,0.780047,0.537884,133.9278,m
133.7976,136.4159,126.4443,145.4388,136.4169,143.7341,126.5084,117.2148,0.801208,0.801208,0.406194,205.8918,m
172.3238,168.703,158.268,178.1256,181.4931,188.9094,166.2568,132.2065,0.833481,0.833481,0.195219,264.0733,f
235.9681,228.1864,227.0898,267.1418,243.9197,284.7182,203.9582,184.6968,0.874126,0.874126,0.26047,352.9215,f
117.1502,113.8032,107.3708,123.8286,116.5001,121.6206,110.9817,106.2886,0.778039,0.778039,0.307181,139.3346,m
182.3378,182.0376,175.9736,191.5145,189.5492,193.2295,178.4562,174.4954,0.846003,0.846003,0.254657,244.0477,f
75.31651,75.46751,75.20982,82.01839,103.7301,82.67909,75.19933,49.99268,0.743622,0.743622,0.675672,400.2903,m
222.7746,234.5065,206.6533,254.4814,217.9272,248.6474,200.3086,162.058,0.830769,0.830769,0.210299,303.355,f
110.0092,86.95718,84.49628,109.7108,104.0737,124.6847,104.5989,45.10509,0.757167,0.757167,0.284252,134.0972,m
136.9667,133.2902,124.5314,147.4352,138.1257,147.4048,127.1555,111.6164,0.812257,0.812257,0.326147,188.153,m
210.8809,185.6678,175.5152,218.9803,211.0061,234.4304,187.3448,127.8127,0.839589,0.839589,0.303764,258.3301,f
162.0532,152.1241,142.3971,177.6387,164.9769,174.6067,150.3405,105.3779,0.801276,0.801276,0.417513,206.6282,m
148.9604,163.2291,157.9835,200.3558,162.526,181.1171,148.9604,134.365,0.832936,0.832936,0.496152,235.2335,f
206.1798,200.235,192.775,216.4092,209.3689,219.0859,193.972,190.0625,0.851654,0.851654,0.266408,292.9927,f
143.555,140.5953,125.5054,147.7137,139.6808,149.106,135.832,105.8419,0.806237,0.476306,0.498784,160.5045,m
165.4377,166.2133,154.8319,193.4998,164.8377,191.3408,157.8013,126.9446,0.825544,0.825544,0.172196,205.9732,f
220.5944,206.1711,198.6846,235.3083,210.627,245.0757,184.2816,181.3319,0.874682,0.874682,0.290391,280.2002,f
101.7615,68.71938,74.15676,101.0851,96.80682,103.6508,101.4112,61.85543,0.73975,0.73975,0.551005,110.296,m
136.6778,131.1751,120.8177,146.5258,134.047,149.6279,125.1307,101.2295,0.760666,0.760666,0.281872,179.8722,m
136.3706,133.7747,126.5849,144.6167,143.7687,139.421,133.9597,90.56942,0.797926,0.797926,0.234587,200.5801,f
85.1953,83.71571,82.17622,96.7746,90.67242,92.13988,78.83139,67.59229,0.763222,0.763222,0.587482,227.5694,m
177.0245,176.2818,169.5711,186.7589,179.1918,187.3592,172.4368,169.4483,0.839785,0.839785,0.38653,205.8538,f
208.7563,225.5062,215.0482,258.2945,210.0633,253.5986,187.6402,190.1183,0.869218,0.869218,0.266164,277.7496,f
0,0,0,0,0,0,0,0,0.558372,0.558372,0.366597,0,f
176.177,170.285,159.1666,181.8814,173.6143,181.3618,165.4125,152.0282,0.816841,0.392756,0.358415,254.5063,f
144.0229,142.2267,134.7382,155.8433,150.0332,157.7059,140.0607,135.9843,0.821558,0.597784,0.601493,184.5218,f
157.9904,154.7661,138.3274,162.4034,155.7852,166.1118,149.8072,131.3585,0.806701,0.806701,0.153986,184.4371,m
92.17795,91.08517,85.07878,99.05426,92.26672,98.42265,88.48669,73.51431,0.759356,0.759356,0.51407,122.8637,m
214.4914,211.8902,200.3031,242.9272,217.5945,262.6264,188.8721,186.6216,0.840359,0.840359,0.155991,291.8406,f
180.3854,175.6628,156.9322,186.7779,178.5341,190.0009,165.8836,131.3236,0.821137,0.821137,0.316948,208.6151,f
121.7706,115.9192,105.5683,127.399,123.1925,136.8014,113.2539,82.27921,0.760483,0.760483,0.311715,153.1436,m
102.1313,98.05999,87.54905,107.5812,104.8765,108.3146,96.019,67.83107,0.759335,0.759335,0.239968,138.934,m
120.8652,116.7626,108.2586,121.948,122.9456,125.2059,116.4658,87.80681,0.778479,0.778479,0.322482,161.7525,m
122.331,120.3453,117.0513,129.3656,124.191,132.5087,110.3251,108.6829,0.781531,0.781531,0.359699,185.5074,m
203.2376,192.358,187.4544,215.5152,201.1497,223.3548,185.4354,157.3008,0.847419,0.847419,0.191703,281.8528,f
98.59975,93.84722,86.05164,102.7696,107.5648,108.0411,94.66543,61.24461,0.792617,0.792617,0.356753,167.0401,m
115.2377,107.5232,109.2171,141.1366,118.4866,140.9294,100.3405,94.61797,0.78313,0.708788,0.361038,169.5848,m
